timestamps,x_values,y_values,eye_tracker,ivt,idt
4.98,-150,-196,fixation,saccade,saccade
4.98,-114,-180,saccade,saccade,saccade
4.99,-34,-211,saccade,saccade,saccade
5.00,-117,-179,fixation,saccade,saccade
5.01,-104,-169,fixation,fixation,saccade
5.03,-95,-165,fixation,fixation,saccade
5.03,-94,-166,fixation,fixation,saccade
5.05,-107,-161,fixation,fixation,saccade
5.06,-102,-150,fixation,fixation,saccade
5.07,-24,-205,fixation,saccade,saccade
5.08,-91,-156,fixation,saccade,saccade
5.08,-77,-153,saccade,fixation,saccade
5.09,0,-206,fixation,saccade,saccade
5.10,-52,-136,fixation,saccade,fixation
5.11,-73,-130,fixation,fixation,fixation
5.12,7,-178,fixation,saccade,fixation
5.13,-76,-122,fixation,saccade,fixation
5.13,-63,-122,fixation,fixation,fixation
5.14,-6,-181,fixation,saccade,fixation
5.15,-62,-124,fixation,saccade,fixation
5.16,-62,-120,fixation,fixation,fixation
5.17,-4,-181,fixation,saccade,fixation
5.18,-67,-115,fixation,saccade,fixation
5.18,-50,-108,fixation,fixation,fixation
5.19,-2,-171,fixation,saccade,fixation
5.20,-54,-114,fixation,saccade,fixation
5.21,-52,-114,fixation,fixation,fixation
5.22,-11,-186,fixation,saccade,fixation
5.23,-44,-124,fixation,saccade,fixation
5.23,-42,-125,fixation,fixation,fixation
5.24,-11,-199,fixation,saccade,fixation
5.25,-45,-123,fixation,saccade,fixation
5.26,-43,-118,fixation,fixation,fixation
5.27,-27,-193,fixation,saccade,fixation
5.28,-54,-116,fixation,saccade,fixation
5.28,-56,-121,fixation,fixation,fixation
5.29,-21,-184,fixation,saccade,fixation
5.30,-44,-123,fixation,saccade,fixation
5.31,-13,-94,saccade,saccade,fixation
5.32,-47,-46,saccade,saccade,saccade
5.33,74,-65,saccade,saccade,saccade
5.33,283,32,saccade,saccade,saccade
5.34,508,152,saccade,saccade,saccade
5.35,659,263,saccade,saccade,saccade
5.36,765,333,saccade,saccade,saccade
5.37,834,379,saccade,saccade,saccade
5.38,856,389,saccade,fixation,saccade
5.38,856,388,saccade,fixation,saccade
5.39,856,370,fixation,fixation,saccade
5.40,859,374,fixation,fixation,saccade
5.41,857,365,fixation,fixation,saccade
5.42,852,360,fixation,fixation,saccade
5.43,849,368,fixation,fixation,saccade
5.43,851,370,fixation,fixation,saccade
5.44,852,359,fixation,fixation,saccade
5.45,852,358,fixation,fixation,saccade
5.46,851,357,fixation,fixation,saccade
5.47,847,348,fixation,fixation,saccade
5.48,854,341,fixation,fixation,saccade
5.48,857,342,fixation,fixation,saccade
5.49,854,334,fixation,fixation,saccade
5.50,853,307,fixation,fixation,saccade
5.51,848,327,fixation,fixation,fixation
5.52,851,311,fixation,fixation,fixation
5.53,846,321,fixation,fixation,fixation
5.53,846,335,fixation,fixation,fixation
5.54,851,340,fixation,fixation,fixation
5.55,854,335,fixation,fixation,fixation
5.56,858,323,fixation,fixation,fixation
5.57,854,328,fixation,fixation,fixation
5.58,853,332,fixation,fixation,fixation
5.58,856,332,fixation,fixation,fixation
5.59,851,330,fixation,fixation,fixation
5.60,843,338,fixation,fixation,fixation
5.61,840,333,fixation,fixation,fixation
5.62,845,334,fixation,fixation,fixation
5.63,846,331,fixation,fixation,fixation
5.63,850,339,fixation,fixation,fixation
5.64,844,330,fixation,fixation,fixation
5.65,849,323,fixation,fixation,fixation
5.66,804,365,fixation,saccade,fixation
5.67,855,332,fixation,saccade,fixation
5.68,856,333,fixation,fixation,fixation
5.68,813,371,fixation,saccade,fixation
5.69,854,317,fixation,saccade,fixation
5.70,849,324,fixation,fixation,fixation
5.71,849,332,fixation,fixation,fixation
5.72,848,332,fixation,fixation,fixation
5.73,841,328,fixation,fixation,fixation
5.73,842,330,fixation,fixation,fixation
5.74,845,337,fixation,fixation,fixation
5.75,856,340,fixation,fixation,fixation
5.76,854,338,fixation,fixation,fixation
5.77,852,333,fixation,fixation,fixation
5.78,848,336,fixation,fixation,fixation
5.78,850,336,fixation,fixation,fixation
5.79,850,331,fixation,fixation,fixation
5.80,849,330,fixation,fixation,fixation
5.81,847,332,fixation,fixation,fixation
5.82,850,344,fixation,fixation,fixation
5.83,851,339,fixation,fixation,fixation
5.83,855,345,fixation,fixation,fixation
5.84,853,298,fixation,saccade,fixation
5.85,851,348,fixation,saccade,fixation
5.86,849,341,fixation,fixation,fixation
5.87,845,339,fixation,fixation,fixation
5.88,847,333,fixation,fixation,fixation
5.88,848,331,fixation,fixation,fixation
5.89,852,334,fixation,fixation,fixation
5.90,849,368,saccade,fixation,fixation
5.91,827,385,saccade,fixation,fixation
5.92,778,526,saccade,saccade,saccade
5.93,790,542,saccade,fixation,saccade
5.93,741,588,saccade,saccade,saccade
5.94,795,550,outlier,saccade,saccade
5.95,792,551,outlier,fixation,saccade
5.96,748,615,outlier,saccade,saccade
5.97,801,577,saccade,saccade,saccade
5.98,798,578,fixation,fixation,saccade
5.98,745,615,fixation,saccade,saccade
